run_id,state_id,gp,branch_id,branch_label,se_raw,se_low_distance,se_high_distance,kabs,k_lower_distance,k_upper_distance,sn_use_branch,sn_branch_distance,sn_switch,pc2_branch,pc_branch_distance,pc_switch
run1,BETA_MIN_POS,3,0,SMOOTH,.4000000000000000,.3999990000000000,.5999989999999999,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,4,.3000000000000000,0,0,.2999992500000000,0
run1,BETA_MIN_POS,4,0,SMOOTH,.4000000000000000,.3999990000000000,.5999989999999999,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,4,.3000000000000000,0,0,.2999992500000000,0
run1,BETA_MIN_NEG,1,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,5,.3000000000000000,0,0,.2499992500000000,0
run1,BETA_MIN_NEG,2,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,5,.3000000000000000,0,0,.2499992500000000,0
run1,BETA_MIN_NEG,3,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,5,.3000000000000000,0,0,.2499992500000000,0
run1,BETA_MIN_NEG,4,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,5,.3000000000000000,0,0,.2499992500000000,0
run1,FINAL_CLIP_LOW,1,2,BRANCH_2,1.066666666666667,1.066665666666667,-.6666766666666668E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,7,.1000000000000000,0,2,.1500007500000002,0
run1,FINAL_CLIP_LOW,2,2,BRANCH_2,1.066666666666667,1.066665666666667,-.6666766666666668E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,7,.1000000000000000,0,2,.1500007500000002,0
run1,FINAL_CLIP_LOW,3,2,BRANCH_2,1.066666666666667,1.066665666666667,-.6666766666666668E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,7,.1000000000000000,0,2,.1500007500000002,0
run1,FINAL_CLIP_LOW,4,2,BRANCH_2,1.066666666666667,1.066665666666667,-.6666766666666668E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,7,.1000000000000000,0,2,.1500007500000002,0
run1,FINAL_CLIP_HIGH,1,1,BRANCH_1,-.2666666666666667,-.2666676666666666,1.266665666666667,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,8,.1000000000000001,0,1,.3000007500000001,0
run1,FINAL_CLIP_HIGH,2,1,BRANCH_1,-.2666666666666667,-.2666676666666666,1.266665666666667,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,8,.1000000000000001,0,1,.3000007500000001,0
run1,FINAL_CLIP_HIGH,3,1,BRANCH_1,-.2666666666666667,-.2666676666666666,1.266665666666667,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,8,.1000000000000001,0,1,.3000007500000001,0
run1,FINAL_CLIP_HIGH,4,1,BRANCH_1,-.2666666666666667,-.2666676666666666,1.266665666666667,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,8,.1000000000000001,0,1,.3000007500000001,0
run1,SE_CLIP_LOW,1,1,BRANCH_1,-.2000000000000001,-.2000010000000001,1.199999000000000,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,1,.1500007500000000,0
run1,SE_CLIP_LOW,2,1,BRANCH_1,-.2000000000000001,-.2000010000000001,1.199999000000000,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,1,.1500007500000000,0
run1,SE_CLIP_LOW,3,1,BRANCH_1,-.2000000000000000,-.2000010000000000,1.199999000000000,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,1,.1500007500000000,0
run1,SE_CLIP_LOW,4,1,BRANCH_1,-.2000000000000000,-.2000010000000000,1.199999000000000,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,1,.1500007500000000,0
run1,SE_CLIP_HIGH,1,2,BRANCH_2,1.053333333333333,1.053332333333334,-.5333433333333348E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,2,.4000075000000011E-01,0
run1,SE_CLIP_HIGH,2,2,BRANCH_2,1.053333333333333,1.053332333333334,-.5333433333333348E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,2,.4000075000000011E-01,0
run1,SE_CLIP_HIGH,3,2,BRANCH_2,1.053333333333333,1.053332333333334,-.5333433333333348E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,2,.4000075000000011E-01,0
run1,SE_CLIP_HIGH,4,2,BRANCH_2,1.053333333333333,1.053332333333334,-.5333433333333348E-01,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,0,.1000000000000000E+100,0,2,.4000075000000011E-01,0
