run_id,state_id,direction_id,h,pressure_scale,residual_scale,gradient_norm,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,nullspace_flag,classification,diagnostic_explanation
run1,LIMITER_OFF,D1,1.00000000000000005E-04,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.05348694236054432E-13,1.57700981196308475E-16,6.05217330154087061E-13,4.25031321477695078E-13,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,2.99999999999999974E-04,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,1.00000000000000002E-03,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,3.92673427172717576E-14,1.57700981196308475E-16,3.93986187659544206E-14,2.77186946470610205E-14,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,3.00000000000000006E-03,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.81524498204602886E-15,1.57700981196308475E-16,6.68612070352658980E-15,4.87486245326635515E-15,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,1.00000000000000002E-02,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D2,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000111138654E+00,1.00000000000000000E+00,1.18005388055848029E-09,8.12766272035728614E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,2.99999999999999986E-07,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999762474001E-01,1.00000000000000000E+00,3.13152203533519408E-10,2.60695445507662057E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,9.99999999999999955E-07,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999967379538E-01,1.00000000000000000E+00,7.09201368618380974E-11,6.00856953490952139E-11,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,3.00000000000000008E-06,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000003013079E+00,1.00000000000000000E+00,3.94553007251163087E-11,3.19377180470216468E-11,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,1.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000030043E+00,1.00000000000000000E+00,3.65811059792689878E-12,2.46176019134180472E-12,0,CONSISTENT_NUMERICALLY,NONE
