run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,row_classification,series_classification
run1,I1,KSU,D2,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D3,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.1271675614429551E-06,.1271675615815425E-06,.5657993186738316E-15,.4449242492638576E-08,.4578367001677877E-15,.5400053141227529E-08,1.000000000000000,1,1,1,1,0,,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.1271675611637158E-06,.1271675615815425E-06,.1621900567484372E-14,.1275404314837299E-07,.1113196494081823E-14,.1312983469797927E-07,1.000000000000000,1,1,1,1,0,-8.74699554602533902e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.1271675640806340E-06,.1271675615815425E-06,.4016057056798274E-14,.3158082869505770E-07,.3705499642176549E-14,.4370531027162750E-07,.9999999999999996,1,1,1,1,0,-8.25315671061485068e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.1271675775474481E-06,.1271675615815425E-06,.3164149379152862E-13,.2488173039210620E-06,.3126830839302439E-13,.3688007566215161E-06,.9999999999999770,1,1,1,1,0,-1.71446460985777827e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.1271675416870021E-06,.1271675615815425E-06,.6144162637581761E-13,.4831548675754073E-06,.6125027699681695E-13,.7224295032456224E-06,.9999999999998956,1,1,1,1,0,-6.04051322188955742e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.1271674919588201E-06,.1271675615815425E-06,.2087456321741713E-12,.1641500627817883E-05,.1813316711242712E-12,.2138753752180434E-05,.9999999999988027,1,1,1,1,0,-1.01582766317600393e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.1271673646431187E-06,.1271675615815425E-06,.8415431625491651E-12,.6617592977982441E-05,.7551396673941572E-12,.8906656766667358E-05,.9999999999793027,1,1,1,1,0,-1.26898349790318044e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.1271702751502988E-06,.1271675615815425E-06,.3919981590182140E-11,.3082466862283052E-04,.3750708207752080E-11,.4423837997417999E-04,.9999999997525714,1,1,1,1,0,-1.27793993863822686e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.1271614191284348E-06,.1271675615815425E-06,.1102748855529634E-10,.8671620669729746E-04,.1046959113285766E-10,.1234858380960067E-03,.9999999974065683,1,1,1,1,0,-9.41464216651069163e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.1271522882727590E-06,.1271675615815425E-06,.2548788389250938E-10,.2004275585339900E-03,.2434737894067212E-10,.2871703828523172E-03,.9999999871253132,1,1,1,1,0,-6.95872929691588427e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSU,D3,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.1271747928472597E-06,.1271675615815425E-06,.3155515334353354E-10,.2481242755506754E-03,.2434737894067212E-10,.2871380601627737E-03,.9999999708320911,1,1,1,1,0,-1.94366765247381973e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.1533684913479155E-03,.1533684913479134E-03,.5410166464257003E-17,.3527560593905873E-13,.4546872860861084E-17,.4291483621317694E-13,1.000000000000000,1,1,1,1,0,,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.1533684913479053E-03,.1533684913479134E-03,.1670404535048190E-16,.1089144530514361E-12,.1259029772798792E-16,.1188312454308218E-12,1.000000000000000,1,1,1,1,0,-9.36375855397222012e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.1533684913477665E-03,.1533684913479134E-03,.2053149093194197E-15,.1338703325011308E-11,.1932861422998533E-15,.1824296256549452E-11,.9999999999999999,1,1,1,1,0,-2.28369374959098437e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.1533684913476385E-03,.1533684913479134E-03,.2827948560915152E-15,.1843891490397468E-11,.1932725897726972E-15,.1824168343475791E-11,1.000000000000000,1,1,1,1,0,-2.65933582550836989e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.1533684913466840E-03,.1533684913479134E-03,.1423456795886525E-14,.9281285767214347E-11,.1277488314785358E-14,.1205734214940853E-10,1.000000000000000,1,1,1,1,0,-1.47105746736665854e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.1533684913468133E-03,.1533684913479134E-03,.5830719538513835E-14,.3801771463792367E-10,.4447807275482010E-14,.4197982362298617E-10,1.000000000000000,1,1,1,1,0,-1.17116610193718196e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.1533684913486593E-03,.1533684913479134E-03,.1234049147863025E-13,.8046301668688955E-10,.1167582401747323E-13,.1102001508916750E-09,1.000000000000000,1,1,1,1,0,-6.82447703139239303e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.1533684913300927E-03,.1533684913479134E-03,.2848394151550284E-13,.1857222514557282E-09,.2251784235419649E-13,.2125305778445480E-09,1.000000000000000,1,1,1,1,0,-6.94745449480199340e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.1533684911907768E-03,.1533684913479134E-03,.2110852279411176E-12,.1376327210928058E-08,.1617394098426400E-12,.1526548134292552E-08,1.000000000000000,1,1,1,1,0,-1.82313771982569861e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.1533684917836660E-03,.1533684913479134E-03,.4539182376039142E-12,.2959657699732672E-08,.3403619888101700E-12,.3212444993082755E-08,1.000000000000000,1,1,1,1,0,-6.35940537756148450e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D1,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.1533684926412312E-03,.1533684913479134E-03,.1597694366921833E-11,.1041735717295765E-07,.1356143631637066E-11,.1279971606367676E-07,1.000000000000000,1,1,1,1,0,-1.14544482418967863e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.1492268606384170E-05,.1492268606383834E-05,.1328988172774115E-16,.8905824106253291E-11,.1067939139898222E-16,.1431296129023480E-10,1.000000000000000,1,1,1,1,0,,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.1492268606382363E-05,.1492268606383834E-05,.6941590454640521E-16,.4651703068029993E-10,.5042842415213999E-16,.6758625616556173E-10,1.000000000000000,1,1,1,1,0,-1.37304848922852796e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.1492268606427538E-05,.1492268606383834E-05,.1397878735800366E-15,.9367473990804242E-10,.1302668910241334E-15,.1745890658613542E-09,1.000000000000000,1,1,1,1,0,-6.37176626059252849e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.1492268606093243E-05,.1492268606383834E-05,.5038200053659633E-15,.3376201866142946E-09,.4841142694649069E-15,.6488299323007514E-09,1.000000000000000,1,1,1,1,0,-1.06488533846565114e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.1492268605912542E-05,.1492268606383834E-05,.1076487683931014E-14,.7213766203523049E-09,.8455048998174536E-15,.1133180576110700E-08,1.000000000000000,1,1,1,1,0,-6.91089851853881609e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.1492268607493670E-05,.1492268606383834E-05,.4802931156668191E-14,.3218543318910207E-08,.3491293625729197E-14,.4679175846033689E-08,.9999999999999998,1,1,1,1,0,-1.24215662255128367e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.1492268594392894E-05,.1492268606383834E-05,.1683367376725432E-13,.1128059231108990E-07,.1277172890303712E-13,.1711719832292818E-07,1.000000000000000,1,1,1,1,0,-1.14158096988784585e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.1492268607041921E-05,.1492268606383834E-05,.5907775596491477E-13,.3958922387439540E-07,.4324537321294495E-13,.5795923136287259E-07,.9999999999999989,1,1,1,1,0,-1.04277538349223908e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.1492268656734521E-05,.1492268606383834E-05,.9172056857331547E-13,.6146384443537424E-07,.7938544569971451E-13,.1063956407229135E-06,.9999999999999988,1,1,1,1,0,-4.00407120480948231e-01,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I2,KPS,D2,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.1492268223053770E-05,.1492268606383834E-05,.7114217205445605E-12,.4767383817505387E-06,.4627156405430377E-12,.6201503901794229E-06,.9999999999999195,1,1,1,1,0,-1.70146595240205145e+00,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
