run_id,state_id,direction_id,h,norm_scaled_fd,norm_scaled_kv,absolute_error_scaled_l2,relative_error_scaled_l2,absolute_error_scaled_inf,relative_error_scaled_inf,cosine_similarity,branch_id_plus,branch_id_minus,finite,branch_crossed,strict_point_pass,roundoff_explained_point,max_error_to_roundoff_bound,series_classification,series_pass,series_explained
run2,LIMITER_OFF,M1,3.00000000000000008E-05,6.06318119418578605E-01,6.06318119418979395E-01,1.59305325315147709E-11,2.62742148408505990E-11,1.20891334289897104E-11,4.86294563208171284E-11,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,9.50344243546802936E+00,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,1.00000000000000005E-04,6.06318119453587601E-01,6.06318119418979395E-01,4.89367230579641221E-11,8.07112990488652603E-11,3.81776277258438832E-11,1.53572403725874605E-10,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,7.82072844515777774E+02,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,2.99999999999999974E-04,6.06318119714861270E-01,6.06318119418979395E-01,4.29217209105358489E-10,7.07907606830570000E-10,3.35964311926062516E-10,1.35144192974212805E-09,9.99999999999999889E-01,I3B_0,I3B_0,1,0,1,0,2.06467510690935742E+04,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,1.00000000000000002E-03,6.06318122707204754E-01,6.06318119418979395E-01,4.76911476318193840E-09,7.86569720510395768E-09,3.73287784016795937E-09,1.50157840693061888E-08,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,7.64682417621092056E+05,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,3.00000000000000006E-03,6.06318149014814400E-01,6.06318119418979395E-01,4.29233856417781370E-08,7.07935029019383362E-08,3.35966994502445715E-08,1.35145253979310908E-07,9.99999999999998668E-01,I3B_0,I3B_0,1,0,1,0,2.06469159614529461E+07,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,1.00000000000000002E-02,6.06318448261686127E-01,6.06318119418979395E-01,4.76926488139883456E-07,7.86594057144774081E-07,3.73296652783627891E-07,1.50161184992384406E-06,9.99999999999837685E-01,I3B_0,I3B_0,1,0,1,0,7.64700574031871915E+08,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M2,9.99999999999999955E-08,1.55302876647620103E+00,1.55302877574578102E+00,9.83806145283097838E-09,6.33475799449152713E-09,4.30176827492800840E-09,7.89206026935504263E-09,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,9.90352706064219923E+00,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M2,2.99999999999999986E-07,1.55302877719872789E+00,1.55302877574578102E+00,2.20204569217843008E-09,1.41790398510861099E-09,1.34072003499241491E-09,2.45969625134792818E-09,9.99999999999999778E-01,I3B_0,I3B_0,1,0,1,0,3.43334970544326712E+00,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M2,9.99999999999999955E-07,1.55302877602987399E+00,1.55302877574578102E+00,5.40368078164840662E-10,3.47944665614132892E-10,2.34110342223203816E-10,4.29500803305231709E-10,9.99999999999999778E-01,I3B_0,I3B_0,1,0,1,0,1.28166525122760699E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M2,3.00000000000000008E-06,1.55302877580055210E+00,1.55302877574578102E+00,1.38693856654095697E-10,8.93054003990377375E-11,1.15718656878982503E-10,2.12298421443713606E-10,9.99999999999999778E-01,I3B_0,I3B_0,1,0,1,0,4.20820499118037183E+00,CONSISTENT_NUMERICALLY,1,0
