run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,finite,branch_crossed_bool,residual_scale,null_candidate,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,roundoff_floor,strict_point_pass,roundoff_explained_point,observed_slope,series_classification,series_pass,series_explained
run1,BETA_MIN_NEG,KPP,D3,1.00000000000000005E-04,-1,I3B_5,I3B_5,4.01924342862326131E-02,4.01924342862153700E-02,4.03861967554203678E-14,1.00482086921652709E-12,3.95794508278868307E-14,1.38481783770433796E-12,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862326131E-02,4.01924342862153700E-02,4.03861967554203678E-14,3.95794508278868307E-14,5.36470098697347874E-15,1,0,-1.47344750799061996E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,3.00000000000000008E-05,-1,I3B_5,I3B_5,4.01924342863484371E-02,4.01924342862153700E-02,1.74846562870453995E-13,4.35023570915786620E-12,1.25996435507147503E-13,4.40840152472395972E-12,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342863484371E-02,4.01924342862153700E-02,1.74846562870453995E-13,1.25996435507147503E-13,1.78823366232449296E-14,1,0,-1.21715435626255264E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,1.00000000000000008E-05,-1,I3B_5,I3B_5,4.01924342862609307E-02,4.01924342862153700E-02,8.86221447244059738E-13,2.20494593816378688E-11,5.97247945544054915E-13,2.08966923796179212E-11,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862609307E-02,4.01924342862153700E-02,8.86221447244059738E-13,5.97247945544054915E-13,5.36470098697347858E-14,1,0,-1.47737110794067816E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,3.00000000000000008E-06,-1,I3B_5,I3B_5,4.01924342875293189E-02,4.01924342862153700E-02,2.38363586217399690E-12,5.93055858503593546E-11,1.64419866610643299E-12,5.75277219324731922E-11,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342875293189E-02,4.01924342862153700E-02,2.38363586217399690E-12,1.64419866610643299E-12,1.78823366232449290E-13,1,0,-8.21792162351558275E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,9.99999999999999955E-07,-1,I3B_5,I3B_5,4.01924342878587221E-02,4.01924342862153700E-02,2.27966724907981099E-12,5.67188151071618429E-11,1.81735182458453397E-12,6.35860571940718637E-11,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342878587221E-02,4.01924342862153700E-02,2.27966724907981099E-12,1.81735182458453397E-12,5.36470098697347946E-13,1,0,4.05943995882779088E-02,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,2.99999999999999986E-07,-1,I3B_5,I3B_5,4.01924342912265628E-02,4.01924342862153700E-02,2.42819784743754704E-11,6.04143016032146387E-10,2.13766782053426109E-11,7.47933704748946738E-10,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342912265628E-02,4.01924342862153700E-02,2.42819784743754704E-11,2.13766782053426109E-11,1.78823366232449315E-12,1,0,-1.96491561198321407E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,9.99999999999999955E-08,-1,I3B_5,I3B_5,4.01924343030504103E-02,4.01924342862153700E-02,6.67557483532552599E-11,1.66090333941750904E-09,5.67640483228881720E-11,1.98607774944094909E-09,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924343030504103E-02,4.01924342862153700E-02,6.67557483532552599E-11,5.67640483228881720E-11,5.36470098697347906E-12,1,0,-9.20530357001112742E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPS,D1,1.00000000000000002E-02,-1,I3B_5,I3B_5,1.63150246087720305E-04,1.63150246087724398E-04,1.04746657380957403E-17,6.42025739419578336E-14,8.83624770575686114E-18,7.89513600787030388E-14,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,1.63150246087720305E-04,1.63150246087724398E-04,1.04746657380957403E-17,8.83624770575686114E-18,5.36470098697347911E-17,1,0,,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPS,D1,3.00000000000000006E-03,-1,I3B_5,I3B_5,1.63150246087739496E-04,1.63150246087724398E-04,2.99493479720901900E-17,1.83569125332387912E-13,2.52077005102879812E-17,2.25229340101777908E-13,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,1.63150246087739496E-04,1.63150246087724398E-04,2.99493479720901900E-17,2.52077005102879812E-17,1.78823366232449299E-16,1,0,-8.72567881223788477E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPS,D1,1.00000000000000002E-03,-1,I3B_5,I3B_5,1.63150246087910014E-04,1.63150246087724398E-04,1.91326822343017888E-16,1.17270324091283098E-12,1.33627917758838397E-16,1.19395768462439704E-12,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,1.63150246087910014E-04,1.63150246087724398E-04,1.91326822343017888E-16,1.33627917758838397E-16,5.36470098697347874E-16,1,0,-1.68801636651722498E+00,CONSISTENT_NUMERICALLY,1,0
