run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,residual_characteristic_scale,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,row_classification,series_classification
run1,I1,KSP,D1,.1000000000000000E-04,-1,I3B_0,I3B_0,.1931160993126569E-10,.4335559509131367E-15,.1931139102946430E-10,.9999886647564774,.1318389841742373E-10,1.000000000000000,.5049069838621328,1,1,1,1,0,-1.36614319827753317e+00,1.00000000000000000e+00,1.93116099312656899e-11,4.33555950913136699e-16,1.93113910294643002e-11,1.31838984174237307e-11,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.3000000000000000E-05,-1,I3B_0,I3B_0,.4305470440582207E-10,.4335559509131367E-15,.4305493254141873E-10,1.000005298737962,.3006887331717204E-10,1.000011076923077,-.5261927962696487,1,1,1,1,0,-6.65946662482089446e-01,1.00000000000000000e+00,4.30547044058220696e-11,4.33555950913136699e-16,4.30549325414187331e-11,3.00688733171720417e-11,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.1000000000000000E-05,-1,I3B_0,I3B_0,.3889070521483227E-09,.4335559509131367E-15,.3889071776858000E-09,1.000000322795579,.2099017071266474E-09,1.000000793388430,-.2895526068581932,1,1,1,1,0,-2.00331265062751385e+00,1.00000000000000000e+00,3.88907052148322721e-10,4.33555950913136699e-16,3.88907177685800010e-10,2.09901707126647404e-10,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.3000000000000000E-06,-1,I3B_0,I3B_0,.1296356840494409E-08,.4335559509131367E-15,.1296356714957220E-08,.9999999031615481,.6996716354438586E-09,.9999997619834711,.2895526068581932,1,1,1,1,0,-9.99999651458918115e-01,1.00000000000000000e+00,1.29635684049440900e-09,4.33555950913136699e-16,1.29635671495722009e-09,6.99671635443858570e-10,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.1000000000000000E-06,-1,I3B_0,I3B_0,.6880097885524052E-09,.4335559509131367E-15,.6880095688092659E-09,.9999996806104463,.4857222402065986E-09,.9999993142857143,.5068394063812014,1,1,1,1,0,5.76645958366945766e-01,1.00000000000000000e+00,6.88009788552405163e-10,4.33555950913136699e-16,6.88009568809265891e-10,4.85722240206598599e-10,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D2,.1000000000000000E-01,-1,I3B_0,I3B_0,3.173903694809153,3.173903694809153,.8599750569898517E-15,.2709518434337883E-15,.6661338147750939E-15,.4156620321547017E-15,1.000000000000000,1,1,1,1,0,,1.00000000000000000e+00,3.17390369480915302e+00,3.17390369480915302e+00,8.59975056989851665e-16,6.66133814775093924e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D2,.3000000000000000E-02,-1,I3B_0,I3B_0,3.173903694809050,3.173903694809153,.1109556690850243E-12,.3495873843509800E-13,.7838174553853605E-13,.4890956578353658E-13,.9999999999999997,1,1,1,1,0,-4.03662160816312454e+00,1.00000000000000000e+00,3.17390369480904999e+00,3.17390369480915302e+00,1.10955669085024304e-13,7.83817455385360518e-14,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D2,.1000000000000000E-02,-1,I3B_0,I3B_0,3.173903694809166,3.173903694809153,.2446057920843238E-12,.7706780532892978E-13,.1714184350021242E-12,.1069636962744724E-12,1.000000000000000,1,1,1,1,0,-7.19559727322057197e-01,1.00000000000000000e+00,3.17390369480916590e+00,3.17390369480915302e+00,2.44605792084323809e-13,1.71418435002124195e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D2,.3000000000000000E-03,-1,I3B_0,I3B_0,3.173903694809706,3.173903694809153,.5540159289091586E-12,.1745534780450782E-12,.2802202914153895E-12,.1748551615263811E-12,1.000000000000000,1,1,1,1,0,-6.79039869626551496e-01,1.00000000000000000e+00,3.17390369480970591e+00,3.17390369480915302e+00,5.54015928909158606e-13,2.80220291415389511e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D2,.1000000000000000E-03,-1,I3B_0,I3B_0,3.173903694813025,3.173903694809153,.4057108328468631E-11,.1278270772707751E-11,.2731814774392660E-11,.1704629993864059E-11,.9999999999999998,1,1,1,1,0,-1.81231572423544640e+00,1.00000000000000000e+00,3.17390369481302503e+00,3.17390369480915302e+00,4.05710832846863136e-12,2.73181477439266018e-12,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D2,.3000000000000000E-04,-1,I3B_0,I3B_0,3.173903694794698,3.173903694809153,.1666699275094360E-10,.5251259758826988E-11,.1279198968973105E-10,.7982096557477457E-11,.9999999999999998,1,1,1,1,0,-1.17358115653568573e+00,1.00000000000000000e+00,3.17390369479469792e+00,3.17390369480915302e+00,1.66669927509435996e-11,1.27919896897310504e-11,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
