state_id,direction_id,h,norm_fd,norm_kpp_raw_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
FINAL_CLIP_LOW,D1,1.00000000000000008E-05,4.16666666670453406E-02,4.16766666666666605E-02,9.99999962131639833E-06,2.39942404734457308E-04,4.99999988520100080E-06,1.00000000000000000E+00,-1.0317500559869335,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,3.00000000000000008E-05,4.16666666665981081E-02,4.16766666666666605E-02,1.00000000685489305E-05,2.39942415465462503E-04,5.00000012372547875E-06,1.00000000000000000E+00,-1.3458500245149385,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,1.00000000000000005E-04,4.16666666666666921E-02,4.16766666666666605E-02,9.99999999997530642E-06,2.39942413820090595E-04,5.00000001747019640E-06,1.00000000000000000E+00,-3.330150184660768,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,2.99999999999999974E-04,4.16666666666670529E-02,4.16766666666666605E-02,9.99999999960581032E-06,2.39942413811224803E-04,5.00000000011949219E-06,1.00000000000000000E+00,1.0587050244860763,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,1.00000000000000002E-03,4.16666666666686281E-02,4.16766666666666605E-02,9.99999999802374251E-06,2.39942413773264310E-04,4.99999999968928077E-06,1.00000000000000000E+00,-1.9372950739915722,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,3.00000000000000006E-03,4.16666666666666227E-02,4.16766666666666605E-02,1.00000000000447004E-05,2.39942413821755496E-04,5.00000000022704505E-06,9.99999999999999889E-01,0.37288661767459524,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,1.00000000000000002E-02,4.16666666666670391E-02,4.16766666666666605E-02,9.99999999961968811E-06,2.39942413811557788E-04,4.99999999991826427E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,9.99999999999999955E-08,4.65996002812292670E-02,4.66096002441077073E-02,9.99996287865806942E-06,2.14547278377961298E-04,5.00003144805749589E-06,1.00000000000000000E+00,-1.323804122362476,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,2.99999999999999986E-07,4.65996002320787778E-02,4.66096002441077073E-02,1.00000120289531704E-05,2.14548332888080199E-04,5.00001410082273612E-06,1.00000000000000000E+00,-1.2293132091822674,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,9.99999999999999955E-07,4.65996002428485170E-02,4.66096002441077073E-02,1.00000012592048502E-05,2.14548101825203495E-04,5.00000298773659035E-06,1.00000000000000000E+00,-0.5355166219728379,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,3.00000000000000008E-06,4.65996002455680500E-02,4.66096002441077073E-02,9.99999853966613960E-06,2.14548043478024003E-04,5.00000000618061602E-06,1.00000000000000000E+00,-1.9353199658888727,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,1.00000000000000008E-05,4.65996002442200172E-02,4.66096002441077073E-02,9.99999988769359641E-06,2.14548072399693587E-04,5.00000005497144935E-06,1.00000000000000000E+00,0.13987934727761667,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,3.00000000000000008E-05,4.65996002438911622E-02,4.66096002441077073E-02,1.00000002165659407E-05,2.14548079455586404E-04,5.00000015436069534E-06,1.00000000000000000E+00,-1.1164232669332137,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,1.00000000000000005E-04,4.65996002441606688E-02,4.66096002441077073E-02,9.99999994705062789E-06,2.14548073673187213E-04,5.00000000619449381E-06,1.00000000000000000E+00,-2.004844282528712,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,2.99999999999999974E-04,4.65996002441149068E-02,4.66096002441077073E-02,9.99999999280742902E-06,2.14548074654890593E-04,4.99999999678535367E-06,1.00000000000000000E+00,-0.3924310175980838,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,1.00000000000000002E-03,4.65996002441080373E-02,4.66096002441077073E-02,9.99999999967346453E-06,2.14548074802200112E-04,5.00000000271463936E-06,1.00000000000000000E+00,-0.9844887214244229,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,3.00000000000000006E-03,4.65996002441062471E-02,4.66096002441077073E-02,1.00000000014671703E-05,2.14548074840683706E-04,5.00000000106665121E-06,1.00000000000000000E+00,-2.3897996762413203,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D2,1.00000000000000002E-02,4.65996002441077875E-02,4.66096002441077073E-02,9.99999999992326472E-06,2.14548074807559513E-04,4.99999999997030597E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,9.99999999999999955E-08,4.56694674758548469E-02,4.56792650929353089E-02,9.99997166898609977E-06,2.18917087405871608E-04,7.55744645601630265E-06,9.99999999039825171E-01,-1.011243522373814,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,2.99999999999999986E-07,4.56694674538400819E-02,4.56792650929353089E-02,1.00000001599329994E-05,2.18917711123150008E-04,7.55747536806961136E-06,9.99999999039792087E-01,-1.79416789847386,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,9.99999999999999955E-07,4.56694674616425073E-02,4.56792650929353089E-02,9.99999848525618372E-06,2.18917674461509000E-04,7.55746656796313365E-06,9.99999999039763443E-01,-0.3541057131369731,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,3.00000000000000008E-06,4.56694674613867813E-02,4.56792650929353089E-02,9.99999861489178617E-06,2.18917677299461909E-04,7.55746468868168098E-06,9.99999999039763998E-01,-0.49897806244299314,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,1.00000000000000008E-05,4.56694674607016418E-02,4.56792650929353089E-02,9.99999986625380846E-06,2.18917704693992400E-04,7.55746476819446622E-06,9.99999999039761112E-01,-1.6453940209801674,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,3.00000000000000008E-05,4.56694674605254980E-02,4.56792650929353089E-02,9.99999988027997442E-06,2.18917705001050002E-04,7.55746582348226781E-06,9.99999999039762000E-01,-1.1526861429761752,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,1.00000000000000005E-04,4.56694674604194786E-02,4.56792650929353089E-02,9.99999999126699288E-06,2.18917707430752411E-04,7.55746577704025091E-06,9.99999999039762000E-01,-1.4971714203177995,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,2.99999999999999974E-04,4.56694674604135667E-02,4.56792650929353089E-02,1.00000000033335701E-05,2.18917707694911195E-04,7.55746578823962567E-06,9.99999999039762000E-01,0.01726896745214598,0,1,APPROXIMATE_BOUNDED_BY_JNUM
