state_id,direction_id,h,norm_fd,norm_ksp_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,residual_scale,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,branch_crossed,finite,classification,diagnostic_explanation
FINAL_CLIP_HIGH,D2,9.99999999999999955E-08,2.93789794626741987E+01,2.93789794301346490E+01,3.43059954989432270E-08,1.16770548624838299E-09,2.34168382462485203E-08,1.00000000000000000E+00,-1.1819232271578128,2.93789794301346490E+01,1.00000000110757936E+00,1.00000000000000000E+00,1.16770548754170924E-09,7.97060983753212562E-10,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,2.99999999999999986E-07,2.93789794230531207E+01,2.93789794301346490E+01,9.36373970717551396E-09,3.18722429737328621E-10,7.66940644325586618E-09,9.99999999999999889E-01,-1.2544311796814989,2.93789794301346490E+01,9.99999999758959368E-01,1.00000000000000000E+00,3.18722429737328621E-10,2.61050812248065749E-10,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,9.99999999999999955E-07,2.93789794292148514E+01,2.93789794301346490E+01,2.06792094223888104E-09,7.03877732429932642E-11,1.75747061348374700E-09,1.00000000000000000E+00,-0.5100000490150743,2.93789794301346490E+01,9.99999999968691933E-01,1.00000000000000000E+00,7.03877732429932642E-11,5.98206829363538609E-11,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,3.00000000000000008E-06,2.93789794310282204E+01,2.93789794301346490E+01,1.18086994194289198E-09,4.01943826781039078E-11,9.53322754071450618E-10,9.99999999999999889E-01,-1.9603302941488052,2.93789794301346490E+01,1.00000000003041523E+00,1.00000000000000000E+00,4.01943826793264419E-11,3.24491446797367980E-11,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,1.00000000000000008E-05,2.93789794301405003E+01,2.93789794301346490E+01,1.11477449419379802E-10,3.79446296575614687E-12,7.54827311766348430E-11,9.99999999999999889E-01,0.28989761615634513,2.93789794301346490E+01,1.00000000000019917E+00,1.00000000000000000E+00,3.79446296575690377E-12,2.56927683128470374E-12,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,3.00000000000000008E-05,2.93789794300017313E+01,2.93789794301346490E+01,1.53286298776747892E-10,5.21755015831213139E-12,1.18040688334985992E-10,9.99999999999999889E-01,-1.154858621643737,2.93789794301346490E+01,9.99999999995475730E-01,1.00000000000000000E+00,5.21755015831213139E-12,4.01786211177605219E-12,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,1.00000000000000005E-04,2.93789794301712490E+01,2.93789794301346490E+01,3.81638614825478173E-11,1.29901930641453105E-12,2.55493404210937992E-11,1.00000000000000000E+00,-1.8284019053775393,2.93789794301346490E+01,1.00000000000124589E+00,1.00000000000000000E+00,1.29901930641614885E-12,8.69646969250650462E-13,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,2.99999999999999974E-04,2.93789794301397684E+01,2.93789794301346490E+01,5.12015253949725707E-12,1.74279455543119191E-13,2.60591548340016703E-12,9.99999999999999889E-01,-0.6690609316161248,2.93789794301346490E+01,1.00000000000017431E+00,1.00000000000000000E+00,1.74279455543149559E-13,8.87000002705071350E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,1.00000000000000002E-03,2.93789794301348302E+01,2.93789794301346490E+01,2.28794278208580202E-12,7.78768638824463728E-14,1.62359015121182892E-12,9.99999999999999778E-01,-0.7321870009727789,2.93789794301346490E+01,1.00000000000000622E+00,1.00000000000000000E+00,7.78768638824468524E-14,5.52636675168667630E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,3.00000000000000006E-03,2.93789794301337004E+01,2.93789794301346490E+01,1.02353613262807107E-12,3.48390635917804712E-14,7.26529947314702440E-13,9.99999999999999889E-01,-3.6895629584047738,2.93789794301346490E+01,9.99999999999967693E-01,1.00000000000000000E+00,3.48390635917804586E-14,2.47295842608298736E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D2,1.00000000000000002E-02,2.93789794301346596E+01,2.93789794301346490E+01,1.20478382525939601E-14,4.10083620543885415E-16,8.88178419700125232E-15,1.00000000000000000E+00,,2.93789794301346490E+01,1.00000000000000044E+00,1.00000000000000000E+00,4.10083620543885662E-16,3.02317656000365191E-16,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,9.99999999999999955E-08,1.51747437983531395E+01,1.51747437923395303E+01,5.27296124437384572E-08,3.47482719605855885E-09,3.81056137754853808E-08,1.00000000000000000E+00,-1.0597216710227426,2.93789794301346490E+01,5.16517050377457321E-01,5.16517050172766390E-01,1.79480749387953758E-09,1.29703667433728613E-09,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,2.99999999999999986E-07,1.51747437784986499E+01,1.51747437923395303E+01,1.64603416751543213E-08,1.08471957750375890E-09,1.35757325381291594E-08,1.00000000000000000E+00,-1.200704294366091,2.93789794301346490E+01,5.16517049701651354E-01,5.16517050172766390E-01,5.60276156436890880E-10,4.62089997728247817E-10,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,9.99999999999999955E-07,1.51747437921272095E+01,1.51747437923395303E+01,3.87807399165136664E-09,2.55561085229596096E-10,3.25984572668858205E-09,1.00000000000000000E+00,-1.4137647726848614,2.93789794301346490E+01,5.16517050165539393E-01,5.16517050172766390E-01,1.32001657881741914E-10,1.10958440011190049E-10,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,3.00000000000000008E-06,1.51747437921905100E+01,1.51747437923395303E+01,8.20500535278768877E-10,5.40701409201367630E-11,5.98579297239609787E-10,1.00000000000000000E+00,0.011409125852804465,2.93789794301346490E+01,5.16517050167694003E-01,5.16517050172766390E-01,2.79281496904948277E-11,2.03744074454007138E-11,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,1.00000000000000008E-05,1.51747437926306095E+01,1.51747437923395303E+01,8.31848921983378232E-10,5.48179879246035918E-11,5.70423486223603504E-10,1.00000000000000000E+00,-1.6464457410128606,2.93789794301346490E+01,5.16517050182674131E-01,5.16517050172766390E-01,2.83144254197657028E-11,1.94160415810260554E-11,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,3.00000000000000008E-05,1.51747437923299007E+01,1.51747437923395303E+01,1.36298225079501505E-10,8.98191277195119566E-12,1.04561914682221894E-10,1.00000000000000000E+00,-1.0878351437898954,2.93789794301346490E+01,5.16517050172438652E-01,5.16517050172766390E-01,4.63931108987732574E-12,3.55907239497130034E-12,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,1.00000000000000005E-04,1.51747437923255593E+01,1.51747437923395303E+01,3.67861489738680685E-11,2.42416936175478317E-12,2.64144262018817212E-11,1.00000000000000000E+00,-1.6301160695972532,2.93789794301346490E+01,5.16517050172290881E-01,5.16517050172766390E-01,1.25212480785277822E-12,8.99092708945086011E-13,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,2.99999999999999974E-04,1.51747437923412907E+01,1.51747437923395303E+01,6.13650794477088294E-12,4.04389558647308712E-13,4.23838741880899761E-12,1.00000000000000000E+00,0.14274149599849056,2.93789794301346490E+01,5.16517050172826342E-01,5.16517050172766390E-01,2.08874101953199070E-13,1.44265985443374271E-13,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,1.00000000000000002E-03,1.51747437923403599E+01,1.51747437923395303E+01,7.28715144198968163E-12,4.80215781018191757E-13,5.76427794385381276E-12,1.00000000000000000E+00,-1.7765031952614936,2.93789794301346490E+01,5.16517050172794590E-01,5.16517050172766390E-01,2.48039638657941043E-13,1.96204158744237008E-13,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,3.00000000000000006E-03,1.51747437923385107E+01,1.51747437923395303E+01,1.03502386020280006E-12,6.82070072725246054E-14,7.65609797781507950E-13,1.00000000000000000E+00,-0.6868516297149833,2.93789794301346490E+01,5.16517050172731640E-01,5.16517050172766390E-01,3.52300821975168390E-14,2.60597819472314813E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D3,1.00000000000000002E-02,1.51747437923397506E+01,1.51747437923395303E+01,4.52699738133088598E-13,2.98324468820101426E-14,3.33955085807247087E-13,1.00000000000000000E+00,,2.93789794301346490E+01,5.16517050172773939E-01,5.16517050172766390E-01,1.54089674629318399E-14,1.13671438656137326E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_LOW,D1,9.99999999999999955E-08,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,1.00000000000000000E+00,3.23117426778526400E-27,0.00000000000000000E+00,-0.0,1.00000000000000000E+00,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,3.23117426778526400E-27,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_LOW,D1,2.99999999999999986E-07,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,1.00000000000000000E+00,3.23117426778526400E-27,0.00000000000000000E+00,-0.0,1.00000000000000000E+00,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,3.23117426778526400E-27,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_LOW,D1,9.99999999999999955E-07,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,1.00000000000000000E+00,3.23117426778526400E-27,0.00000000000000000E+00,-0.0,1.00000000000000000E+00,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,3.23117426778526400E-27,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_LOW,D1,3.00000000000000008E-06,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,1.00000000000000000E+00,3.23117426778526400E-27,0.00000000000000000E+00,-0.0,1.00000000000000000E+00,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,3.23117426778526400E-27,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_LOW,D1,1.00000000000000008E-05,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,1.00000000000000000E+00,3.23117426778526400E-27,0.00000000000000000E+00,-0.0,1.00000000000000000E+00,0.00000000000000000E+00,4.56957047189287599E-27,4.56957047189287599E-27,3.23117426778526400E-27,0,1,NULLSPACE_CONSISTENT,NONE
